id,user_id,email,match_score,reason,technologies_matched,title,company,location,description,apply_link,created_at
1,1,jobs+1@voltstack.io,0.72,High alignment with required stack and delivery practices.,"Git, React, CSS, Redis, Docker, Node.js, Bash/Shell Scripting, Flask, PostgreSQL, SQLite, REST APIs","Platform Engineer (Python, Docker, AWS)",VoltStack,"Stockholm, Sweden","This Platform Engineer (Python, Docker, AWS) is a strong fit for your background: hands‑on with Git, React, CSS, Redis, Docker, Node.js. You'll design and scale REST APIs with Python (Django/FastAPI), integrate TypeScript/React front‑ends, and ship via Docker. Your experience with mobile touchpoints with React Native maps directly to the role, and Agile/Scrum habits keep delivery steady. Expect impact across performance, reliability, and developer experience.",https://careers.voltstack.io/jobs/1,2025-08-07T11:20:43.664192
2,1,jobs+2@asteriatech.io,0.94,High alignment with required stack and delivery practices.,"Django, PyTest, Linux, Redis, Docker, Google Cloud Platform, REST APIs, Python, CSS, PostgreSQL, React, Bash/Shell Scripting, Node.js",Application Engineer (Django/REST),Asteria Tech,"Zurich, Switzerland","This Application Engineer (Django/REST) is a strong fit for your background: hands‑on with Django, PyTest, Linux, Redis, Docker, Google Cloud Platform. You'll design and scale REST APIs with Python (Django/FastAPI), integrate TypeScript/React front‑ends, and ship via Docker. Your experience with secure OAuth/JWT auth maps directly to the role, and Agile/Scrum habits keep delivery steady. Expect impact across performance, reliability, and developer experience.",https://careers.asteriatech.io/jobs/2,2025-08-31T11:20:43.664192
3,1,jobs+3@silverlinegroup.io,0.82,High alignment with required stack and delivery practices.,"PostgreSQL, REST APIs, FastAPI, Microsoft SQL Server, CSS, Django, Azure, React, TypeScript, Python, Git, OAuth",Integration Engineer (OAuth/JWT),Silverline Group,"Zurich, Switzerland","This Integration Engineer (OAuth/JWT) is a strong fit for your background: hands‑on with PostgreSQL, REST APIs, FastAPI, Microsoft SQL Server, CSS, Django. You'll design and scale REST APIs with Python (Django/FastAPI), integrate TypeScript/React front‑ends, and ship via Docker. Your experience with secure OAuth/JWT auth maps directly to the role, and Agile/Scrum habits keep delivery steady. Expect impact across performance, reliability, and developer experience.",https://careers.silverlinegroup.io/jobs/3,2025-09-01T11:20:43.664192
4,1,jobs+4@novagrid.io,0.84,High alignment with required stack and delivery practices.,"JavaScript, Linux, React, Bootstrap, Bash/Shell Scripting, PostgreSQL, TypeScript, CSS, AWS, FastAPI, Agile/Scrum, Python, Flask, HTML",Product Engineer (Python/React),NovaGrid,"Stockholm, Sweden","This Product Engineer (Python/React) is a strong fit for your background: hands‑on with JavaScript, Linux, React, Bootstrap, Bash/Shell Scripting, PostgreSQL. You'll design and scale REST APIs with Python (Django/FastAPI), integrate TypeScript/React front‑ends, and ship via Docker. Your experience with SQL performance tuning (PostgreSQL/SQL Server) maps directly to the role, and Agile/Scrum habits keep delivery steady. Expect impact across performance, reliability, and develo",https://careers.novagrid.io/jobs/4,2025-07-10T11:20:43.664192
5,1,jobs+5@silverlinegroup.io,0.82,High alignment with required stack and delivery practices.,"JavaScript, JWT, SQLite, Git, Node.js, PostgreSQL, TypeScript, HTML, REST APIs, React Native, GitHub Actions, FastAPI, MySQL, React",Application Engineer (Django/REST),Silverline Group,"Zurich, Switzerland","This Application Engineer (Django/REST) is a strong fit for your background: hands‑on with JavaScript, JWT, SQLite, Git, Node.js, PostgreSQL. You'll design and scale REST APIs with Python (Django/FastAPI), integrate TypeScript/React front‑ends, and ship via Docker. Your experience with testing culture (PyTest/Jest) maps directly to the role, and Agile/Scrum habits keep delivery steady. Expect impact across performance, reliability, and developer experience.",https://careers.silverlinegroup.io/jobs/5,2025-06-10T11:20:43.664192
6,1,jobs+6@silverlinegroup.io,0.99,High alignment with required stack and delivery practices.,"FastAPI, Microsoft SQL Server, React Native, Jest, Python, Git, REST APIs, PostgreSQL, Bash/Shell Scripting, Django, JWT, HTML, Docker, React",Senior Full‑Stack Engineer (Python/React),Silverline Group,"Vilnius, Lithuania","This Senior Full‑Stack Engineer (Python/React) is a strong fit for your background: hands‑on with FastAPI, Microsoft SQL Server, React Native, Jest, Python, Git. You'll design and scale REST APIs with Python (Django/FastAPI), integrate TypeScript/React front‑ends, and ship via Docker. Your experience with CI/CD with GitHub Actions maps directly to the role, and Agile/Scrum habits keep delivery steady. Expect impact across performance, reliability, and developer experience.",https://careers.silverlinegroup.io/jobs/6,2025-08-17T11:20:43.664192
7,1,jobs+7@orbitalsystems.io,0.81,High alignment with required stack and delivery practices.,"Django, Redux, React Native, REST APIs, Jest, OAuth, FastAPI, Bash/Shell Scripting, Python, Git, PostgreSQL, WebSockets, Docker",Senior Full‑Stack Engineer (Python/React),Orbital Systems,Remote,"This Senior Full‑Stack Engineer (Python/React) is a strong fit for your background: hands‑on with Django, Redux, React Native, REST APIs, Jest, OAuth. You'll design and scale REST APIs with Python (Django/FastAPI), integrate TypeScript/React front‑ends, and ship via Docker. Your experience with secure OAuth/JWT auth maps directly to the role, and Agile/Scrum habits keep delivery steady. Expect impact across performance, reliability, and developer experience.",https://careers.orbitalsystems.io/jobs/7,2025-08-16T11:20:43.664192
8,1,jobs+8@vertexai.io,1.0,High alignment with required stack and delivery practices.,"Agile/Scrum, Python, Windows Server, React, Docker, TypeScript, PyTest, OAuth, React Native, MySQL, Redux",Cloud Backend Engineer (AWS/Azure),Vertex AI,"Tallinn, Estonia","This Cloud Backend Engineer (AWS/Azure) is a strong fit for your background: hands‑on with Agile/Scrum, Python, Windows Server, React, Docker, TypeScript. You'll design and scale REST APIs with Python (Django/FastAPI), integrate TypeScript/React front‑ends, and ship via Docker. Your experience with containerized workloads with Docker maps directly to the role, and Agile/Scrum habits keep delivery steady. Expect impact across performance, reliability, and developer experience.",https://careers.vertexai.io/jobs/8,2025-07-24T11:20:43.664192
9,1,jobs+9@northwindapps.io,0.78,High alignment with required stack and delivery practices.,"OAuth, Python, MySQL, React, Microsoft SQL Server, REST APIs, Azure, Git, Docker, Linux, Node.js, PostgreSQL, Django",Mobile Engineer (React Native + API),Northwind Apps,"Stockholm, Sweden","This Mobile Engineer (React Native + API) is a strong fit for your background: hands‑on with OAuth, Python, MySQL, React, Microsoft SQL Server, REST APIs. You'll design and scale REST APIs with Python (Django/FastAPI), integrate TypeScript/React front‑ends, and ship via Docker. Your experience with secure OAuth/JWT auth maps directly to the role, and Agile/Scrum habits keep delivery steady. Expect impact across performance, reliability, and developer experience.",https://careers.northwindapps.io/jobs/9,2025-08-10T11:20:43.664192
10,1,jobs+10@helioscloud.io,0.83,High alignment with required stack and delivery practices.,"Python, Jest, Django, Docker, Linux, AWS, React, REST APIs, Azure, WebSockets",Mobile Engineer (React Native + API),Helios Cloud,"Gdańsk, Poland","This Mobile Engineer (React Native + API) is a strong fit for your background: hands‑on with Python, Jest, Django, Docker, Linux, AWS. You'll design and scale REST APIs with Python (Django/FastAPI), integrate TypeScript/React front‑ends, and ship via Docker. Your experience with secure OAuth/JWT auth maps directly to the role, and Agile/Scrum habits keep delivery steady. Expect impact across performance, reliability, and developer experience.",https://careers.helioscloud.io/jobs/10,2025-07-07T11:20:43.664192
